Código;Nombre del alimento/preparación;Energía (kcal);Energía (kJ);Agua (g);Proteínas (g);Grasa total (g);Carbohidratos totales (g);Carbohidratos disponibles (g);Fibra dietaria (g)
C49;Naranja agria, jugo de;32;135;90,7;0,5;0,2;8,2;8,0;0,2
C50;Naranja de Guayaquil;31;132;88,6;0,5;0,2;10,2;7,8;2,4
C51;Naranja de Huando;36;152;87,3;1,2;0,2;10,9;8,5;2,4
C52;Níspero;41;170;86,5;0,3;0,0;12,7;11,0;1,7
C53;Nuzive;138;577;70,3;2,7;7,8;17,7;•;•
C54;Pacae o Guaba;56;234;84,1;0,6;0,1;14,8;•;•
C55;Palta;130;546;79,2;1,7;12,5;5,6;•;•
C56;Pan de árbol con semilla;117;489;63,4;4,5;1,8;29,0;24,1;4,9
C57;Pan de árbol sin semilla;30;124;86,4;1,6;0,5;10,5;5,6;4,9
C58;Pan-Meo;78;326;78,0;1,3;0,2;19,9;•;•
C59;Papaya;25;106;90,8;0,4;0,1;8,2;6,4;1,8
C60;Pasa sin pepa;228;953;31,6;2,4;0,4;63,8;60,1;3,7
C61;Pepino dulce;26;109;92,3;0,3;0,0;7,0;•;•
C62;Pera chilena;38;160;86,0;0,3;0,1;13,2;10,1;3,1
C63;Pera de agua;42;176;85,8;0,4;0,6;13,0;9,9;3,1
C64;Pera nacional;55;230;84,7;0,4;0,2;14,5;•;•
C65;Pera perilla;58;243;84,2;0,6;0,5;14,4;•;•
C66;Pero;50;211;85,4;0,4;0,7;13,3;12,0;1,3
C67;Pijuayo;184;770;52,3;2,8;3,2;41,0;•;•
C68;Pijuayo sancochado, sin cáscara y sin pepas;120;501;52,2;2,1;4,0;41,0;22,1;19,0
C69;Piña;33;139;89,3;0,4;0,2;9,8;8,4;1,4
C70;Plátano de isla;75;314;74,2;1,2;0,1;21,6;19,5;2,2
C71;Plátano de seda;74;309;76,2;1,5;0,3;21,0;18,4;2,6
C72;Plátano guineo;111;465;65,9;1,4;0,2;31,7;29,1;2,6
C73;Plátano manzano;80;336;74,3;1,1;0,2;23,4;20,8;2,6
C74;Plátano, harina de;302;1265;14,0;4,0;0,4;79,3;•;•
C75;Plátano maduro;103;431;68,1;1,2;0,2;29,6;27,0;2,6
C76;Plátano morado;97;405;69,8;1,0;0,2;28,1;25,5;2,6
C77;Plátano seco (orejón);232;972;24,5;3,7;1,2;68,2;58,3;9,9
C78;Plátano verde;144;602;57,0;1,0;0,2;40,9;38,6;2,3
C79;Plátano verde asado;243;1018;29,1;1,5;0,2;68,0;65,7;2,3
C80;Plátano verde sancochado;129;540;61,6;0,7;0,3;36,8;34,5;2,3
C81;Pomarosa;33;138;90,7;0,5;0,4;7,9;•;•
C82;Purunkari;151;632;58,1;2,7;1,4;36,3;•;•
C83;Sandia;23;96;93,0;0,7;0,1;5,9;5,5;0,4
C84;Shiwawaco (semilla);249;1041;39,0;6,6;7,5;45,5;•;•
C85;Tamarindo;221;925;31,4;2,8;0,6;62,5;57,4;5,1
C86;Mango ciruelo (taperibá);56;234;84,5;0,6;0,3;14,2;•;•
C87;Toronja;33;138;89,8;0,6;0,4;8,8;7,7;1,1
C88;Tumbo costeño;22;92;93,3;0,4;0,0;5,8;•;•
C89;Tumbo serrano sin cáscara;37;153;84,5;2,1;0,4;12,1;7,4;4,8
C90;Tuna;46;194;82,3;0,8;0,0;15,4;12,1;3,3
C91;Tuna roja;36;150;86,2;1,3;0,2;12,1;8,3;3,8
C92;Ungurauy;307;1284;41,7;2,8;21,1;33,6;•;•
C93;Uva blanca;40;168;87,8;0,3;0,2;11,3;10,4;0,9
C94;Uva borgoña;79;330;77,0;0,9;0,3;21,3;20,4;0,9
C95;Uva italia;63;262;81,1;0,4;0,1;17,7;16,8;0,9
C96;Uva negra;63;265;81,2;0,2;0,1;18,1;17,2;0,9
C97;Uva quebranta;66;276;81,4;0,5;0,1;17,7;•;•
C98;Uvilla;64;268;82,4;0,3;0,3;16,7;•;•
C99;Zapote;73;305;79,7;0,9;0,3;18,8;•;•
C100;Aguaymanto;51;213;79,8;1,9;0,0;17,3;12,4;4,9
C101;Blanquillo;47;198;84,8;1,0;0,3;13,3;11,6;1,8
C102;Carambola;23;98;91,7;1,0;0,5;6,5;4,5;2,0
C103;Carambola, refresco cocido de;6;27;98,5;0,2;0,3;0,9;•;
C104;Carambola, refresco natural de;5;21;98,9;0,2;0,3;0,6;0,5;0,0
C105;Coco rallado;596;2494;3,9;7,4;66,8;19,5;3,3;16,2
C106;Cocona, jugo natural de;0;1;•;•;•;0,8;0,1;0,7
C107;Durazno, néctar envasado;6;24;96,8;0,0;0,0;3,1;1,4;1,7
C108;Granadilla, jugo natural;25;103;90,3;1,1;0,2;7,3;5,4;1,9
C109;Guindón*;215;899;30,9;2,2;0,4;63,9;56,8;7,1
C110;Kiwi, sin cáscara;39;161;85,6;2,9;0,3;10,6;7,3;3,2
C111;Limón dulce, sin cáscara;20;83;90,7;1,4;0,4;7,1;4,8;2,3
C112;Limón, néctar envasado;57;237;85,7;0,0;0,0;14,2;14,1;0,1
C113;Mango, néctar envasado;44;185;87,4;0,0;0,0;12,5;11,0;1,5
C114;Manzana chilena verde con cáscara;38;158;87,5;0,2;0,3;11,4;9,7;1,8
C115;Manzana delicia “helada” con cáscara;47;195;83,5;0,2;0,1;16,0;12,6;3,4
C116;Manzana delicia roja con cáscara;52;216;82,9;0,3;0,1;16,5;14,0;2,6
C117;Manzana israel con cáscara;40;165;86,5;0,4;0,1;12,9;10,5;2,4
C118;Manzana, jugo natural, envasado;43;180;•;•;•;11,0;10,7;0,3
C119;Manzana, néctar envasado;38;160;90,3;0,0;0,0;9,5;9,5;0,1
C120;Manzana pero con cáscara (para agua);31;130;85,6;0,3;0,1;13,8;8,3;5,5
C121;Manzana santa rosa (golden) con cáscara;53;221;82,3;0,2;0,1;17,3;14,4;2,8
C122;Manzana winter con cáscara;44;186;84,4;0,3;0,1;15,0;12,0;3,1
C123;Maracuyá, jugo natural, envasado;35;145;•;•;•;10,0;8,7;1,4
C124;Maracuyá, néctar envasado;9;37;97,6;0,0;0,0;2,3;2,1;0,2
C125;Naranja, bebida envasada;56;235;85,2;0,0;0,0;14,7;14,0;0,7
C126;Naranja, jugo natural, envasado;16;69;•;•;•;5,0;4,1;0,9
C127;Naranja, néctar envasado;43;179;•;•;•;12,3;10,7;1,6
C128;Naranja tangelo;24;98;91,0;1,0;0,2;7,4;5,2;2,2
C129;Naranja tangelo, jugo natural;16;69;93,0;0,7;0,2;5,9;3,5;2,4
C130;Naranjilla*;28;117;91,8;0,7;0,1;6,8;•;•
C131;Palta “fuerte”;104;436;69,7;1,9;8,9;17,1;6,5;10,6
C132;Papaya arequipeña;17;72;94,4;1,0;0,3;3,7;3,3;0,5
C133;Pera, néctar envasado;46;192;88,5;0,0;0,0;11,5;11,4;0,0
C134;Piña, bebida envasada;29;121;91,7;0,0;0,0;8,3;7,2;1,1
C135;Plátano “bellaco”;102;427;67,5;1,3;0,1;29,5;26,9;2,6
C136;Plátano “moquicho”;100;419;67,4;1,2;0,1;29,7;26,5;3,2
C137;Plátano palillo;105;440;66,8;0,9;0,3;31,0;27,8;3,2
C138;Plátano palillo maduro, harina de;293;1227;10,5;4,1;1,1;81,6;75,1;6,4
C139;Plátano palillo verde, harina de;295;1233;11,2;3,3;0,2;83,2;78,3;4,9
C140;Sancayo;17;73;94,0;0,8;0,6;4,0;2,7;1,3
C141;Warr’a;102;427;71,0;1,5;0,2;26,4;•;•
C142;Yak’u;116;485;69,3;1,8;2,2;25,3;•;•
D1;Aceite compuesto (vegetal 70% pescado 30%);884;3699;0,0;0,0;100,0;0,0;•;•
D2;Aceite de pescado, hidrogenado;884;3699;0,0;0,0;100,0;0,0;•;•
D3;Aceite vegetal de algodón;884;3699;0,0;0,0;100,0;0,0;0,0;0,0
D4;Aceite vegetal de girasol;884;3699;0,0;0,0;100,0;0,0;0,0;0,0
D5;Aceite vegetal de maíz;884;3699;0,0;0,0;100,0;0,0;0,0;0,0
D6;Aceite vegetal de maní;884;3699;0,0;0,0;100,0;0,0;0,0;0,0
D7;Aceite vegetal de olivo;884;3699;0,0;0,0;100,0;0,0;0,0;0,0
D8;Aceite vegetal de palma;884;3699;0,0;0,0;100,0;0,0;0,0;0,0
D9;Aceite vegetal de soya;884;3699;0,0;0,0;100,0;0,0;0,0;0,0
D10;Almendra;552;2308;5,1;23,4;54,1;14,3;4,4;9,9
D11;Avellana;497;2079;3,1;12,6;52,9;28,4;2,6;25,7
D12;Cacao, semillas secas;570;2387;3,6;12,0;46,3;34,7;•;•
D13;Castaña peruana (nuez de Brasil);646;2702;3,9;15,4;69,0;8,4;3,7;4,7
D14;Maní crudo, pelado con película;559;2339;7,3;24,1;48,2;17,7;9,2;8,5
D15;Maní sancochado;374;1565;32,3;15,9;27,5;21,9;13,1;8,8
D16;Maní tostado, sin película;590;2469;2,0;27,1;51,0;16,9;8,9;8,0
D17;Manteca de cerdo;879;3676;0,5;0,0;99,4;0,0;0,0;0,0
D18;Manteca vegetal;880;3699;0,1;0,0;99,5;0,0;0,0;0,0
D19;Mantequilla;729;3050;16,0;2,0;82,0;0,0;•;•
D20;Mantequilla con sal;717;3000;15,9;0,9;81,1;0,1;0,1;0,0
D21;Margarina vegetal con sal;720;3012;16,0;0,6;81,0;0,3;0,3;0,0
D22;Nuez;653;2731;3,8;16,9;69,1;8,3;3,8;4,5
D23;Cashú;572;2393;2,3;19,5;51,1;24,4;18,8;5,7
D24;Chía, semilla de;360;1507;7,7;23,4;32,5;31,8;1,7;30,1
D25;Linaza;428;1792;8,1;21,0;42,5;0,0;0,0;27,9
D26;Margarina, Astra de La Danesa 60% grasa vegetal;506;2117;34,9;0,0;57,2;0,0;•;•
D27;Margarina, Dorina Batida al 70% de grasa;597;2498;25,8;0,0;67,6;0,0;•;•
D28;Margarina, Dorina Clásica al 70% de grasa;578;2420;26,5;0,0;65,4;0,0;•;•
D29;Margarina, Dorina Light al 50% de grasa;409;1710;44,7;0,0;46,2;0,0;•;•
D30;Margarina, La Danesa 70% de grasa vegetal;590;2469;24,5;0,0;66,8;0,0;•;•
D31;Margarina, La Preferida 70% grasa;598;2502;24,6;0,0;67,6;0,0;•;•
D32;Margarina, Manty 40% de grasa vegetal;325;1361;50,6;0,0;36,8;0,0;•;•
D33;Margarina, Sello de Oro;607;2539;24,8;0,0;68,6;0,0;•;•
D34;Margarina, Swis Light;407;1704;44,8;0,0;46,1;0,0;•;•
D35;Margarina, Swis 60% de grasa;479;2002;36,6;0,0;54,1;0,0;•;•
D36;Ñuña;383;1604;4,4;20,2;13,1;58,8;50,0;8,8
D37;Pecana;670;2804;3,9;9,1;73,8;11,7;5,2;6,5
D38;Sacha Inchi tostado;572;2392;2,8;30,2;54,4;9,9;2,8;7,1
D39;Semilla de ajonjolí*;525;2195;4,7;17,7;49,7;23,5;11,7;11,8
D40;Semilla de ajonjoli negro;499;2087;5,4;18,9;51,3;18,9;0,9;17,9
D41;Semilla de girasol;585;2449;2,4;23,8;58,6;11,8;3,0;8,8
E1;Almeja blanca;71;299;82,4;14,4;1,1;0,0;•;•
E2;Aska (crustáceo), al estado natural;462;1934;8,0;56,6;19,4;11,1;•;•
E3;Aska, sometido a cocción (crustáceo);467;1954;8,0;56,0;20,3;10,9;•;•
E4;Barquillos;89;372;78,2;18,5;0,5;1,3;•;•
E5;Camaroncito seco (chino);247;1034;29,6;52,3;1,9;1,6;•;•
E6;Camarones frescos;88;370;78,0;17,8;0,2;2,6;•;•
E7;Cangrejo;94;395;75,2;19,8;0,6;1,1;•;•
E8;Cangrejo cocido*;97;407;78,4;14,8;2,9;1,9;•;•
E9;Caracol;87;365;78,6;16,9;0,8;1,9;1,9;0,0
E10;Chanque, loco o tolina;104;434;74,3;21,9;0,3;1,8;•;•
E11;Choros;91;383;78,7;13,0;2,3;3,7;•;•
E12;Concha de abanico;92;385;78,2;15,9;1,8;1,9;•;•
E13;Erizo;147;613;72,1;16,3;7,9;1,4;•;•
E14;Langostino blanco;69;289;83,8;14,5;0,8;•;•;•
E15;Lapas;86;361;78,1;18,5;0,4;0,9;•;•
E16;Machas;130;544;69,5;23,2;1,3;4,7;•;•
E17;Pescado acarabuazú, salado deshidratado;292;1222;25,0;47,5;9,9;0,0;•;•
E18;Pescado anchoveta;156;651;70,8;19,1;8,2;0,0;•;•
E19;Pescado atún, en conserva;181;756;65,3;22,9;9,9;•;•;•
E20;Pescado atún, enlatado en agua;116;485;72,5;25,5;0,8;•;•;•
E21;Pescado atún, enlatado en aceite;186;778;63,0;26,5;8,1;•;•;0,0
E22;Pescado atún, fresco;141;591;70,4;23,3;4,6;•;•;•
E23;Pescado ayanque o cachema;88;368;77,2;19,6;0,5;0,0;•;•
E24;Pescado bacalao fresco;82;343;80,2;17,8;0,7;•;•;0,0
E25;Pescado bacalao seco salado;290;1212;16,1;62,8;2,4;•;•;•
E26;Pescado bagre;80;335;80,9;15,2;1,7;•;•;•
E27;Pescado bonito;138;577;70,6;23,4;4,2;•;•;•
E28;Pescado bonito, huevera de;101;423;75,5;17,2;3,0;0,0;•;•
E29;Pescado bonito, músculo claro;113;474;73,4;23,8;1,3;•;•;•
E30;Pescado bonito, músculo oscuro;140;585;68,9;21,1;5,5;0,0;•;•
E31;Pescado bonito, pulpa asada;136;568;69,9;24,0;3,7;0,0;•;•
E32;Pescado bonito, seco salado;184;770;44,0;32,3;5,1;0,0;•;•
E33;Pescado boquichico, salado deshidratado;287;1199;24,3;47,9;9,1;0,0;•;•
E34;Pescado caballa, en conserva;225;942;60,1;24,8;14,0;•;•;•
E35;Pescado caballa, fresco;127;533;73,8;19,5;4,9;0,0;•;•
E36;Pescado caballa, salado;152;635;65,2;25,2;4,9;•;•;•
E37;Pescado cabinza;96;402;77,8;19,1;1,6;•;•;•
E38;Pescado cabrilla;96;400;77,9;18,6;1,8;•;•;•
E39;Pescado carachama;64;268;82,8;14,2;0,4;0,0;•;•
E40;Pescado cazón;98;410;75,0;21,8;0,5;0,0;•;•
E41;Pescado chita;88;368;78,0;19,8;0,4;•;•;•
E42;Pescado chita, huevera de;62;259;83,8;12,3;1,0;•;•;•
E43;Pescado chita, pulpa asada;99;414;75,1;21,0;1,0;0,0;•;•
E44;Pescado coco;99;414;78,7;17,4;2,7;•;•;•
E45;Pescado cojinova;103;430;75,6;20,7;1,6;0,0;•;•
E46;Pescado congrio;73;307;82,1;15,7;0,7;•;•;•
E47;Pescado corvina;124;519;72,6;19,5;4,5;0,0;•;0,0
E48;Pescado fuasaco, con espinas;72;301;79,5;16,3;0,3;0,0;•;•
E49;Pescado jurel, en conserva;127;531;67,0;23,2;3,8;0,0;•;•
E50;Pescado jurel, fresco;120;503;75,0;19,7;4,0;•;•;•
E51;Pescado lenguado;91;381;79,1;18,8;1,2;•;•;0,0
E52;Pescado lisa;119;498;74,6;20,8;3,3;•;•;•
E53;Pescado lorna, fresco;96;402;76,3;18,5;1,9;0,0;•;•
E54;Pescado lorna, pulpa seca salada;150;628;44,8;30,9;2,0;0,0;•;•
E55;Pescado machete;136;570;72,5;20,5;5,4;•;•;•
E56;Pescado maparate, con espinas;73;304;79,1;15,1;0,9;0,0;•;•
E57;Pescado merluza, fresco;72;303;82,4;15,8;0,5;•;•;•
E58;Pescado merluza, seco;363;1519;9,2;73,8;5,3;•;•;•
E59;Pescado mero, fresco*;110;460;77,9;20,8;2,3;0,0;0,0;0,0
E60;Pescado paiche, seco;247;1033;40,4;38,2;9,3;0,0;•;•
E61;Pescado pampanito;106;444;76,0;19,2;2,7;0,0;•;•
E62;Pescado paña, salado deshidratado;288;1204;21,5;54,3;6,2;0,0;•;•
E63;Pescado pejerrey;105;441;76,5;19,6;2,4;•;•;•
E64;Pescado pejesapo;101;423;76,0;22,1;0,7;•;•;•
E65;Pescado pejesapo, pulpa asada;87;364;77,8;19,5;0,4;0,0;•;•
E66;Pescado pejesapo, pulpa sancochada;83;347;77,8;18,7;0,3;0,0;•;•
E67;Pescado perico;91;381;76,5;20,5;0,4;0,0;•;•
E68;Pescado pintadilla;85;356;77,4;18,8;0,5;0,0;•;•
E69;Pescado ractacara, con espinas;87;364;74,2;15,4;2,3;0,0;•;•
E70;Pescado raya, pulpa asada;136;569;65,9;31,1;0,4;0,0;•;•
E71;Pescado róbalo;95;397;76,5;21,3;0,5;•;•;•
E72;Pescado sardina, con aceite;267;1116;54,8;21,7;20,0;•;•;•
E73;Pescado sardina, con tomate;151;631;68,0;22,2;6,9;•;•;
E74;Pescado sardina, en grated (en conserva);171;714;65,4;22,4;9,0;•;•;•
E75;Pescado sardina, filete (en conserva);202;846;60,6;25,8;11,0;•;•;•
E76;Pescado sardina, fresco;146;610;71,3;20,2;6,6;0,0;•;•
E77;Pescado tilapia, cruda*;96;402;78,1;20,1;1,7;0,0;0,0;0,0
E78;Pescado toyo, fresco;89;371;78,8;19,5;0,6;•;•;•
E79;Pescado toyo, seco salado;186;776;38,3;38,6;2,3;0,0;•;•
E80;Pescado tramboyo;85;356;78,8;19,2;0,3;0,0;•;•
E81;Pescado trucha rosada;110;460;75,3;20,9;2,3;•;•;•
E82;Pescado trucha, en conserva;167;699;66,8;21,5;9,0;0,0;•;•
E83;Pescado trucha, fresca;111;465;75,8;19,5;3,1;•;•;•
E84;Pescado yahuarachi, con espinas;86;360;77,3;15,5;2,2;0,0;•;•
E85;Pescado yuliya, con espinas;85;356;77,6;16,9;1,4;0,0;•;•
E86;Pescado zúngaro, salado deshidratado;286;1196;24,1;47,3;9,3;0,0;•;•
E87;Pique;78;326;79,3;15,9;1,1;0,0;•;•
E88;Pota;91;380;78,1;16,0;1,1;3,1;•;•
E89;Pota, concentrado proteico de;396;1658;5,9;91,8;0,3;0,5;•;•
E90;Pulpo;80;334;81,6;13,6;1,4;2,2;•;•
F1;Ballena, carne pulpa de;90;377;78,0;18,6;1,2;0,0;•;•
F2;Carnero, cabeza sancochada de;111;464;79,2;14,2;5,6;0,0;•;•
F3;Carnero, corazón de;115;456;77,0;15,9;4,6;1,4;1,4;0,0
F4;Carnero, hígado de;131;549;72,1;19,9;4,0;2,6;2,6;0,0
F5;Carnero, panza de (mondongo);72;301;83,8;15,7;0,6;0,0;0,0;0,0
F6;Carnero, patas sancochadas de;108;452;76,5;20,9;2,1;0,0;•;•
F7;Carnero, pulmón de (bofe);77;322;81,0;13,4;2,2;0,0;0,0;0,0
F8;Carnero, riñón;109;456;76,7;18,0;3,2;0,8;0,8;0,0
F9;Carnero, sesos de;113;473;79,1;10,0;7,8;0,0;0,0;0,0
F10;Carnero, pulpa gorda;267;1117;60,7;16,9;21,6;0,0;0,0;0,0
F11;Carnero, pulpa muy magra;136;569;73,8;19,0;6,1;0,0;•;•
F12;Carnero, pulpa semigorda;253;1059;61,4;18,2;19,4;0,0;0,0;0,0
F13;Cerdo, carne sin hueso;198;828;69,2;14,4;15,1;0,1;0,1;0,0
F14;Cerdo, hígado de;128;506;73,7;18,5;4,7;1,7;1,7;0,0
F15;Cerdo, patas semigordas;284;1188;57,0;20,0;22,0;0,0;•;•
F16;Cerdo, pulmón de (bofe);79;331;81,3;13,5;2,4;0,0;0,0;0,0
F17;Cerdo, riñón de;139;582;75,4;13,9;8,8;0,0;0,0;0,0
F18;Chivo, carne pulpa de;115;481;73,9;19,4;3,6;0,0;0,0;0,0
F19;Conejo, carne pulpa de;136;569;72,8;20,1;5,6;0,0;0,0;0,0
F20;Gallina, pechuga de (sin piel);108;452;73,2;19,2;2,9;0,0;0,0;0,0
F21;Gallina, pierna de (sin piel);120;502;71,3;20,6;3,6;0,0;0,0;0,0
F22;Majaz, carne pulpa de;108;452;74,7;21,4;1,2;1,4;•;•
F23;Motelo, carne pulpa de;113;474;74,6;21,4;1,8;1,4;•;•
F24;Pato, carne de;326;1364;54,3;16,0;28,6;0,0;0,0;0,0
F25;Pavo, carne de;160;669;70,4;20,4;8,0;0,0;0,0;0,0
F26;Pollo, carne pulpa;119;498;74,5;21,4;3,1;0,0;0,0;0,0
F27;Pollo, corazón de;157;656;72,6;15,6;9,3;1,6;1,6;0,0
F28;Pollo, hígado de;125;523;73,6;18,0;3,9;3,4;•;•
F29;Pollo, sangre cocida;69;289;82,0;16,0;0,1;•;•;•
F30;Pollo, sangre cruda de;65;272;83,0;15,0;0,1;•;•;•
F31;Rana, carne de;73;305;81,9;16,4;0,3;0,0;0,0;0,0
F32;Tortuga charapa, carne de;79;326;81,6;16,4;0,9;0,1;•;•
F33;Res, bazo de;92;385;78,1;18,9;1,2;0,0;0,0;0,0
F34;Res, cabeza sancochada de;111;460;77,1;18,6;3,4;0,2;•;•
F35;Res, carne pulpa de;105;439;75,9;21,3;1,6;0,0;0,0;0,0
F36;Res, corazón de;103;431;77,0;16,6;3,5;0,1;0,1;0,0
F37;Res, criadillas de;60;243;86,9;9,8;1,8;0,4;•;•
F38;Res, hígado de;140;584;70,8;20,0;4,6;3,3;3,3;0,0
F39;Res, lengua de;173;723;71,1;16,5;11,2;0,3;0,3;0,0
F40;Res, panza de (mondongo);104;435;79,5;16,9;3,5;0,0;0,0;0,0
F41;Res, pata sancochada de;152;636;68,8;23,7;5,6;0,0;0,0;0,0
F42;Res, pulmón de (bofe);83;347;80,0;17,2;1,1;0,0;0,0;0,0
F43;Res, riñón de;92;384;79,6;15,1;2,9;0,3;0,3;0,0
F44;Res, sesos de;135;565;78,1;11,3;9,6;0,0;0,0;0,0
F45;Res, ubre de;233;977;66,0;14,1;19,2;•;0,0;0,0
F46;Carnero, carne seca sin hueso (chalona);320;1340;20,2;50,3;11,7;•;•;•
F47;Chicharrón de cerdo (cocido);602;2720;22,6;11,3;61,4;•;•;•
F48;Chicharrón de prensa;438;1824;29,9;23,9;37,2;•;•;•
F49;Chorizo;287;1201;52,3;21,0;21,9;•;0,0;0,0
F50;Jamón del país;344;1439;47,9;24,7;26,4;•;0,0;0,0
F51;Jamonada;344;1393;49,3;15,7;29,5;2,8;2,8;0,0
F52;Mortadela;256;1075;57,9;9,8;19,7;9,4;9,4;0,0
F53;Paté;500;2075;35,0;10,9;49,8;1,1;1,1;0,0
F54;Queso de chancho;242;1021;55,5;20,1;17,3;•;•;•
F55;Relleno;119;448;75,5;14,4;5,0;3,2;3,2;0,0
F56;Salchicha blanca chica;449;1845;40,1;12,0;43,2;2,0;2,0;0,0
F57;Salchicha blanca grande;363;1460;47,9;13,6;32,3;3,5;3,5;0,0
F58;Hot Dog;364;1531;49,4;11,0;34,3;2,1;•;•
F59;Salchicha de “Huacho”;461;1895;38,2;12,9;44,0;2,4;2,4;0,0
F60;Tocino;493;2050;32,8;13,5;47,9;0,8;0,8;0,0
F61;Alpaca, carne pulpa de;109;448;73,9;24,1;0,5;0,3;•;•
F62;Carnero, criadillas fritas**;97;406;78,4;15,8;3,0;1,6;•;•
F63;Carnero, panza cocida (mondongo)**;92;385;80,7;12,3;3,1;3,7;•;•
F64;Carnero, pierna cocida**;260;1088;56,4;24,8;17,6;0,5;•;•
F65;Carnero, sangre cocida**;122;510;74,4;20,4;4,5;0,0;•;•
F66;Cerdo, carne magra, cruda*;143;598;72,2;21,4;5,7;0,0;0,0;0,0
F67;Cerdo, corazón de**;131;548;74,1;15,9;6,2;2,9;•;•
F68;Cerdo, costilla, cruda*;282;1180;59,4;16,1;23,6;0,0;0,0;0,0
F69;Cerdo, churrasco c/piel*;527;2205;4,8;58,5;30,5;4,6;•;•
F70;Cerdo, cuero**;505;2113;14,5;48,4;34,6;0,0;•;•
F71;Cerdo, lengua cocida de**;325;1360;52,7;6,1;27,5;13,0;•;•
F72;Cordero, pierna cruda*;128;538;74,1;20,6;4,5;0,0;0,0;0,0
F73;Codorniz, carne cocida de **;199;833;59,8;21,1;8,4;9,6;•;•
F74;Cuy, carne de;96;402;78,1;19,0;1,6;0,1;0,1;0,0
F75;Llama, carne fresca de**;130;544;70,3;22,5;3,3;2,7;•;•
F76;Llama, carne seca de (charqui);279;1167;25,8;57,7;3,6;1,1;•;•
F77;Pate de hígado de pollo, envasado*;201;841;65,6;13,5;13,1;6,6;6,6;0,0
F78;Pollo, alas con piel, crudas*;222;929;65,2;18,3;16,0;0,0;0,0;0,0
F79;Pollo, molleja, cruda*;94;393;79,3;17,7;2,1;0,0;0,0;0,0
F80;Pollo, mollejas cocidas de**;149;623;68,1;23,7;4,9;2,6;•;•
F81;Pollo, pata con piel, cruda***;170;711;68,9;16,9;10,0;3,1;•;•
F82;Pollo, pechuga cocida de**;213;891;59,6;18,9;11,3;8,8;•;•
F83;Pollo, pechuga frita de**;393;1644;40,0;19,6;31,5;8,0;•;•
F84;Pollo, pierna cocida de**;193;808;63,8;20,2;10,5;4,4;•;•
F85;Pollo, pierna frita de**;218;912;59,9;20,7;12,4;5,9;•;•
F86;Pollo, vísceras o menudencia cruda*;168;703;69,8;17,9;9,2;2,1;2,1;0,0
F87;Res, bazo cocido de**;116;485;72,4;18,2;2,0;6,3;•;•
F88;Res, carne frita**;182;761;66,8;15,4;10,7;6,1;•;•
F89;Res, carne cruda molida**;152;636;70,6;20,1;7,7;0,7;•;•
F90;Res, carne molida frita**;196;820;67,0;15,6;14,1;1,8;•;•
F91;Res, charque crudo**;292;1222;20,0;62,4;4,1;1,4;•;•
F92;Res, cuadril, churrasco***;133;556;71,8;22,0;5,0;0,0;•;•
F93;Res (ternera), costilla cruda***;95;397;76,3;20,0;1,7;0,0;•;•
F94;Res, hígado frito**;174;728;62,9;21,0;6,4;8,0;•;•
F95;Res, lengua cocida**;269;1125;54,9;16,6;18,2;9,5;•;•
F96;Res, panza cocida**;116;485;75,5;19,7;4,1;0,4;•;•
F97;Res, pata de**;120;502;71,0;8,2;1,1;19,3;•;•
F98;Res, sangre cocida**;137;573;73,5;19,5;6,6;0,0;•;•
F99;Res, sangre cruda**;135;565;73,6;19,8;6,2;0,0;•;•
F100;Sajino, carne pulpa de;106;444;75,0;21,4;1,1;1,3;•;•
F101;Venado, carne pulpa de;110;462;73,9;22,9;0,8;1,4;•;•
F102;Venado, carne seca de;160;632;57,1;32,4;1,4;2,4;•;•
F103;Ziqui - zapa (hormiga);487;2033;8,0;36,3;28,9;18,4;•;•
G1;Crema de leche, espesa;345;1443;57,7;2,1;37,0;2,8;2,8;0,0
G2;Crema de leche, rala;195;816;73,8;2,7;19,3;3,7;3,7;0,0
G3;Leche condensada endulzada;322;1347;27,2;7,9;9,2;53,7;53,7;0,0
G4;Leche en polvo descremada;362;1515;3,2;36,2;0,8;52,0;52,0;0,0
G5;Leche en polvo entera;484;2025;3,9;27,0;26,1;36,1;36,1;0,0
G6;Leche evaporada descremada;79;331;80,0;7,1;0,9;10,5;10,5;0,0
G7;Leche evaporada entera;133;556;73,5;6,3;7,7;10,9;10,9;0,0
G8;Leche fresca c/menos de 1% grasa;43;180;90,1;3,5;1,0;4,7;4,7;0,0
G9;Leche fresca entera (plusa);64;268;87,8;3,2;3,2;5,1;5,1;0,0
G10;Leche fresca de cabra;66;276;87,3;3,2;3,8;5,0;5,0;0,0
G11;Leche fresca de vaca;63;264;87,8;3,1;3,5;4,9;4,9;0,0
G12;Leche materna;70;293;87,5;1,0;4,4;6,9;6,9;0,0
G13;Queso fresco de cabra;173;724;65,1;16,3;10,3;3,4;3,4;0,0
G14;Queso fresco de vaca;264;1105;55,0;17,5;20,1;3,3;3,3;0,0
G15;Queso mantecoso;396;1657;33,5;28,0;30,0;3,3;3,3;0,0
G16;Queso parmesano duro;440;1841;22,2;39,1;30,3;1,8;1,8;0,0
G17;Yogurt de leche entera;61;255;87,9;3,5;3,3;4,7;4,7;0,0
G18;Yogurt frutado de leche semidescremada;97;406;73,8;4,1;2,8;18,5;18,2;0,3
